TransactionDate,HouseAge,DistanceToMRT,NumStores,Latitude,Longitude,UnitPrice
2012,32.0,84.87881999999999,10,24.982979999999998,121.54024,37.9
2012,19.5,306.5947,9,24.980339999999998,121.53951,42.2
2013,13.3,561.9845,5,24.987460000000002,121.54391000000001,47.3
2013,13.3,561.9845,5,24.987460000000002,121.54391000000001,54.8
2012,5.0,390.5684,5,24.97937,121.54245,43.1
2012,7.1,2175.03,3,24.96305,121.51253999999999,32.1
2012,34.5,623.4731,7,24.979329999999997,121.53641999999999,40.3
2013,20.3,287.6025,6,24.980420000000002,121.54228,46.7
2013,31.7,5512.0380000000005,1,24.95095,121.48458000000001,18.8
2013,17.9,1783.18,3,24.96731,121.51486000000001,22.1
2013,34.8,405.2134,1,24.973489999999998,121.53372,41.4
2013,6.3,90.45606,9,24.97433,121.5431,58.1
2012,13.0,492.2313,5,24.96515,121.53737,39.3
2012,20.4,2469.645,4,24.96108,121.51046000000001,23.8
2013,13.2,1164.838,4,24.99156,121.53406000000001,34.3
2013,35.7,579.2083,2,24.9824,121.54619,50.5
2013,0.0,292.9978,6,24.977439999999998,121.54458000000001,70.1
2012,17.7,350.8515,1,24.97544,121.53119,37.4
2013,16.9,368.1363,8,24.9675,121.54451,42.3
2012,1.5,23.382839999999998,7,24.96772,121.54101999999999,47.7
2013,4.5,2275.877,3,24.96314,121.51151000000002,29.3
2013,10.5,279.1726,7,24.975279999999998,121.54541,51.6
2012,14.7,1360.139,1,24.95204,121.54842,24.6
2013,10.1,279.1726,7,24.975279999999998,121.54541,47.9
2013,39.6,480.6977,4,24.97353,121.53885,38.8
2013,29.3,1487.868,2,24.97542,121.51726000000001,27.0
2012,3.1,383.8624,5,24.98085,121.54391000000001,56.2
2013,10.4,276.449,5,24.95593,121.53913,33.6
2013,19.2,557.4780000000001,4,24.97419,121.53797,47.0
2013,7.1,451.2438,5,24.97563,121.54693999999999,57.1
2013,25.9,4519.69,0,24.94826,121.49587,22.1
2012,29.6,769.4034,7,24.98281,121.53408,25.0
2012,37.9,488.5727,1,24.973489999999998,121.53451000000001,34.2
2013,16.5,323.655,6,24.97841,121.54281,49.3
2012,15.4,205.36700000000002,7,24.984189999999998,121.54243000000001,55.1
2013,13.9,4079.4179999999997,0,25.01459,121.51816000000001,27.3
2012,14.7,1935.009,2,24.96386,121.51458000000001,22.9
2013,12.0,1360.139,1,24.95204,121.54842,25.3
2012,3.1,577.9615,6,24.97201,121.54722,47.7
2013,16.2,289.3248,5,24.982029999999998,121.54348,46.2
2013,13.6,4082.015,0,24.94155,121.50381000000002,15.9
2013,16.8,4066.587,0,24.942970000000003,121.50341999999999,18.2
2013,36.1,519.4617,5,24.96305,121.53758,34.7
2012,34.4,512.7871,6,24.987479999999998,121.54301000000001,34.1
2013,2.7,533.4762,4,24.97445,121.54765,53.9
2013,36.6,488.8193,8,24.97015,121.54494,38.3
2013,21.7,463.9623,9,24.9703,121.54458000000001,42.0
2013,35.9,640.7391,3,24.97563,121.53715,61.5
2013,24.2,4605.749,0,24.946839999999998,121.49578000000001,13.4
2012,29.4,4510.359,1,24.94925,121.49542,13.2
2013,21.7,512.5487,4,24.974,121.53842,44.2
2013,31.3,1758.406,1,24.95402,121.55282,20.7
2013,32.1,1438.579,3,24.97419,121.5175,27.0
2013,13.3,492.2313,5,24.96515,121.53737,38.9
2013,16.1,289.3248,5,24.982029999999998,121.54348,51.7
2012,31.7,1160.632,0,24.949679999999997,121.53008999999999,13.7
2013,33.6,371.2495,8,24.97254,121.54059,41.9
2012,3.5,56.47425,7,24.95744,121.53711000000001,53.5
2013,30.3,4510.359,1,24.94925,121.49542,22.6
2013,13.3,336.0532,5,24.95776,121.53438,42.4
2013,11.0,1931.207,2,24.96365,121.51471000000001,21.3
2013,5.3,259.6607,6,24.97585,121.54516000000001,63.2
2012,17.2,2175.877,3,24.96303,121.51253999999999,27.7
2013,2.6,533.4762,4,24.97445,121.54765,55.0
2013,17.5,995.7554,0,24.96305,121.54915,25.3
2013,40.1,123.7429,8,24.97635,121.54328999999998,44.3
2013,1.0,193.5845,6,24.96571,121.54088999999999,50.7
2013,8.5,104.8101,5,24.966739999999998,121.54066999999999,56.8
2013,30.4,464.223,6,24.97964,121.53805,36.2
2012,12.5,561.9845,5,24.987460000000002,121.54391000000001,42.0
2013,6.6,90.45606,9,24.97433,121.5431,59.0
2013,35.5,640.7391,3,24.97563,121.53715,40.8
2013,32.5,424.5442,8,24.97587,121.53913,36.3
2013,13.8,4082.015,0,24.94155,121.50381000000002,20.0
2012,6.8,379.5575,10,24.98343,121.53761999999999,54.4
